,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST
26,2,2.5,0.01,1,0,400,160000,-0.013952453571114493,0.19446855816719302,"[-8.67137243e-10  5.91693694e-11 -1.07978975e-08 ...  1.66681657e-11
  4.57806879e-12 -4.11072664e-19]"
27,2,2.5,0.01,1,0.05,400,160000,-0.06521479818787171,0.18498421466886264,"[-8.67137243e-10  5.91693694e-11 -1.07978975e-08 ...  1.66681657e-11
  4.57806879e-12 -4.11072664e-19]"
28,2,2.5,0.01,2,0,250,62500,-0.16647481690774002,0.12059315592305096,"[ 9.67667037e-12 -4.09961957e-10 -9.71750991e-10 ...  2.25421493e-07
  1.53324670e-10  2.38038414e-08]"
29,2,2.5,0.01,2,0.05,250,62500,-0.05302906087175874,0.10911719983822131,"[ 9.67667037e-12 -4.09961957e-10 -9.71750991e-10 ...  2.25421493e-07
  1.53324670e-10  2.38038414e-08]"
30,2,2.5,0.01,2,0,400,160000,-0.16647481690774002,0.0,"[-1.70294687e-19 -1.28247244e-12  2.17399918e-16 ...  2.17864207e-19
  9.58779704e-28  4.97859417e-12]"
31,2,2.5,0.01,2,0.05,400,160000,-0.05302906087175874,0.0,"[-1.70294687e-19 -1.28247244e-12  2.17399918e-16 ...  2.17864207e-19
  9.58779704e-28  4.97859417e-12]"
32,2,2.5,0.01,5,0,250,62500,-0.17822920013612875,0.3236366151079677,"[ 1.85497627e-12 -5.93873206e-11  6.78765331e-20 ... -4.93090906e-08
  4.05703574e-20  4.92996468e-12]"
33,2,2.5,0.01,5,0.05,250,62500,0.10890488424103473,0.2520484492766641,"[ 1.85497627e-12 -5.93873206e-11  6.78765331e-20 ... -4.93090906e-08
  4.05703574e-20  4.92996468e-12]"
34,2,2.5,0.01,5,0,400,160000,-0.17822920013612875,0.001066953072402962,"[ 7.65959967e-18  4.49116032e-26 -2.57913124e-26 ...  5.02767743e-23
  1.03764847e-19 -3.22558514e-16]"
35,2,2.5,0.01,5,0.05,400,160000,0.10890488424103473,0.0008309438882878681,"[ 7.65959967e-18  4.49116032e-26 -2.57913124e-26 ...  5.02767743e-23
  1.03764847e-19 -3.22558514e-16]"
