,stock_zero,mc_price,num_price,mc_price_av
0,0.5,0.0,0.0,0.0
1,0.51,0.0,0.0,0.0
2,0.52,0.0,0.0,0.0
3,0.53,0.0,0.0,0.0
4,0.54,0.0,0.0,0.0
5,0.55,0.0,0.0,0.0
6,0.56,0.0,0.0,0.0
7,0.5700000000000001,0.0,0.0,0.0
8,0.5800000000000001,0.0,0.0,0.0
9,0.5900000000000001,0.0,0.0,0.0
10,0.6000000000000001,0.0,0.0,0.0
11,0.6100000000000001,0.0,0.0,0.0
12,0.6200000000000001,0.0,0.0,0.0
13,0.6300000000000001,0.0,0.0,0.0
14,0.6400000000000001,0.0,0.0,0.0
15,0.6500000000000001,0.0,0.0,0.0
16,0.6600000000000001,0.0,0.0,0.0
17,0.6700000000000002,0.0,0.0,0.0
18,0.6800000000000002,0.0,0.0,0.0
19,0.6900000000000002,0.0,0.0,0.0
20,0.7000000000000002,0.0,0.0,0.0
21,0.7100000000000002,0.0,0.0,0.0
22,0.7200000000000002,0.0,0.0,0.0
23,0.7300000000000002,0.0,0.0,0.0
24,0.7400000000000002,0.0,0.0,0.0
25,0.7500000000000002,0.0,0.0,0.0
26,0.7600000000000002,0.0,0.0,0.0
27,0.7700000000000002,0.0,0.0,0.0
28,0.7800000000000002,0.0,0.0,0.0
29,0.7900000000000003,0.0,0.0,0.0
30,0.8000000000000003,0.0,0.0,0.0
31,0.8100000000000003,0.0,0.0,0.0
32,0.8200000000000003,0.0,0.0,0.0
33,0.8300000000000003,0.0,0.0,0.0
34,0.8400000000000003,0.0,0.0,0.0
35,0.8500000000000003,0.0,0.0,0.0
36,0.8600000000000003,0.0,0.0,0.0
37,0.8700000000000003,0.0,0.0,0.0
38,0.8800000000000003,0.0,0.0,0.0
39,0.8900000000000003,0.0,0.0,0.0
40,0.9000000000000004,0.0,0.0,0.0
41,0.9100000000000004,0.0,0.0,0.0
42,0.9200000000000004,0.0,0.0,0.0
43,0.9300000000000004,0.0,0.0,0.0
44,0.9400000000000004,0.0,0.0,0.0
45,0.9500000000000004,0.0,0.0,0.0
46,0.9600000000000004,0.0,0.0,0.0
47,0.9700000000000004,3.0409384091103496e-06,0.0,0.0
48,0.9800000000000004,0.0,0.0,0.0
49,0.9900000000000004,0.0,0.0,0.0
50,1.0000000000000004,0.0,0.0,0.0
51,1.0100000000000005,6.001774427271034e-05,0.0,0.0
52,1.0200000000000005,0.0,0.0,0.0
53,1.0300000000000005,0.0,0.0,0.0
54,1.0400000000000005,0.0,0.0,0.0
55,1.0500000000000005,1.2756704663511532e-05,0.0,0.0
56,1.0600000000000005,0.00010568374685303628,0.0,0.0
57,1.0700000000000005,1.2748047793568418e-05,0.0,0.0
58,1.0800000000000005,0.0,0.0,0.00038892509439756483
59,1.0900000000000005,0.0005796974322326971,0.0,0.0
60,1.1000000000000005,0.0009639081074649796,0.0,0.00043698711443292826
61,1.1100000000000005,0.0,0.0,0.0008331379225389002
62,1.1200000000000006,6.413345355902544e-05,0.0,0.0004430283764751817
63,1.1300000000000006,1.290937827875549e-05,0.0,0.0011288532306929016
64,1.1400000000000006,0.00026047318135986153,0.0,0.0008840553759575123
65,1.1500000000000006,0.0007903393985256581,0.0,0.0004337189654180138
66,1.1600000000000006,0.0009976474555859558,0.0,0.0004918697732445301
67,1.1700000000000006,0.001578244976384501,0.0,0.00030402029659869624
68,1.1800000000000006,0.0018142913335304045,0.0,0.0003061919521151779
69,1.1900000000000006,0.0010740762633481293,0.0,0.0001815336246505348
70,1.2000000000000006,0.0013498980549324674,0.0,0.002180386916348369
71,1.2100000000000006,0.0007923633040372131,0.0,0.002045377070561783
72,1.2200000000000006,0.0012726470931108049,0.0,0.0010014165600783552
73,1.2300000000000006,0.0011903593142083718,0.0,0.001156644525016807
74,1.2400000000000007,0.0022543466826903595,0.0,0.0007642288555624334
75,1.2500000000000007,0.0004797736084012589,0.0,0.00037831453313288233
76,1.2600000000000007,0.0018180417319399935,0.0,0.0015145829808516904
77,1.2700000000000007,0.0008560766644553795,0.0,0.0009437284415493225
78,1.2800000000000007,0.0024374448375118537,0.0,0.0009699155606375758
79,1.2900000000000007,0.0037863016772748635,0.0,0.0016180949855631708
80,1.3000000000000007,0.0025394610787107426,0.0,0.0035016170053909956
81,1.3100000000000007,0.003472191585835298,0.0,0.0031527798944556
82,1.3200000000000007,0.004056751128738402,0.0,0.004835124436355645
83,1.3300000000000007,0.0023301616254762752,0.0,0.003792840199257262
84,1.3400000000000007,0.004447587490583662,0.0,0.0036008350337740163
85,1.3500000000000008,0.004426283579572299,0.0,0.003219913989849256
86,1.3600000000000008,0.0040894123432781825,0.0,0.006493500249347997
87,1.3700000000000008,0.004795226593597276,0.0,0.00742059898805048
88,1.3800000000000008,0.00858993480457384,0.0,0.007733431584255051
89,1.3900000000000008,0.0044721250914675804,0.0,0.0038097890232825834
90,1.4000000000000008,0.010399358670902928,0.0,0.006892430926853727
91,1.4100000000000008,0.006572551729285499,0.0,0.008298036160171338
92,1.4200000000000008,0.0068731420402665866,0.0,0.004124163320717854
93,1.4300000000000008,0.009147162426264824,0.0,0.011595427563215771
94,1.4400000000000008,0.010106734632481896,0.0,0.011220799775195677
95,1.4500000000000008,0.009817061818924234,0.0,0.009186756060674213
96,1.4600000000000009,0.017007260115114362,0.0,0.017944861385327342
97,1.4700000000000009,0.013376586257607785,0.0,0.005952970342728301
98,1.4800000000000009,0.017008011311844776,0.0,0.012456776971676338
99,1.4900000000000009,0.014441070711800686,0.0,0.018783436910230156
