,S0,K,V0,T,r,n,m,closed_solution,mc_price,ST_std
0,2.0,1.5,0.01,1.0,0.0,250.0,62500.0,0.5017035343718619,0.5054181829201811,0.2601405241512937
1,2.0,1.5,0.01,1.0,0.0,400.0,160000.0,0.5017035343718619,0.5056404271144685,0.25902357476292925
2,2.0,1.5,0.01,1.0,0.05,250.0,62500.0,0.6056928169358464,0.5753933776960096,0.27420444098959584
3,2.0,1.5,0.01,1.0,0.05,400.0,160000.0,0.6056928169358464,0.5774838123087065,0.27245736549671307
4,2.0,1.5,0.01,2.0,0.0,250.0,62500.0,0.6446821862215446,0.5179925076233214,0.37957568832826044
5,2.0,1.5,0.01,2.0,0.0,400.0,160000.0,0.6446821862215446,0.5164328496421737,0.3780934399672789
6,2.0,1.5,0.01,2.0,0.05,250.0,62500.0,0.7522711639654032,0.6495144846920394,0.41908643417820396
7,2.0,1.5,0.01,2.0,0.05,400.0,160000.0,0.7522711639654032,0.6498699908256352,0.41833691981352983
8,2.0,1.5,0.01,5.0,0.0,250.0,62500.0,0.5365976657209712,0.561407640642749,0.6298933480059847
9,2.0,1.5,0.01,5.0,0.0,400.0,160000.0,0.5365976657209712,0.5582791229639171,0.6224038616975197
10,2.0,1.5,0.01,5.0,0.05,250.0,62500.0,0.9302160775794558,0.8470221685673469,0.8126975514130648
11,2.0,1.5,0.01,5.0,0.05,400.0,160000.0,0.9302160775794558,0.847219396407769,0.8023845085153206
12,2.0,1.5,0.07,1.0,0.0,250.0,62500.0,0.5140209205392734,0.5105593302712317,0.3221835877950125
13,2.0,1.5,0.07,1.0,0.0,400.0,160000.0,0.5140209205392734,0.5109075296751557,0.3202422916860896
14,2.0,1.5,0.07,1.0,0.05,250.0,62500.0,0.5935584887210199,0.5789391402934728,0.33752978364802527
15,2.0,1.5,0.07,1.0,0.05,400.0,160000.0,0.5935584887210199,0.5805594994062938,0.33791646989228846
16,2.0,1.5,0.07,2.0,0.0,250.0,62500.0,0.635328942625464,0.5224998835239578,0.42431642065138087
17,2.0,1.5,0.07,2.0,0.0,400.0,160000.0,0.635328942625464,0.5236087990974655,0.4220559103519635
18,2.0,1.5,0.07,2.0,0.05,250.0,62500.0,0.7405033087142077,0.6547443077990639,0.4703370041591541
19,2.0,1.5,0.07,2.0,0.05,400.0,160000.0,0.7405033087142077,0.6559777981382316,0.46755799896723127
